"","Date","Source","Site.ID","POC","Daily.Mean.PM2.5.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"89",2018-09-26,"AQS",370110002,1,3.1,"ug/m3 LC",13,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"90",2018-09-29,"AQS",370110002,1,4.8,"ug/m3 LC",20,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"91",2018-10-02,"AQS",370110002,1,5.9,"ug/m3 LC",25,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"92",2018-10-05,"AQS",370110002,1,6.3,"ug/m3 LC",26,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"93",2018-10-08,"AQS",370110002,1,5.6,"ug/m3 LC",23,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"94",2018-10-11,"AQS",370110002,1,1.4,"ug/m3 LC",6,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"95",2018-10-14,"AQS",370110002,1,4.9,"ug/m3 LC",20,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"96",2018-10-17,"AQS",370110002,1,1.3,"ug/m3 LC",5,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"97",2018-10-20,"AQS",370110002,1,2.9,"ug/m3 LC",12,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"98",2018-10-23,"AQS",370110002,1,2.9,"ug/m3 LC",12,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"99",2018-10-26,"AQS",370110002,1,1.1,"ug/m3 LC",5,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"100",2018-10-29,"AQS",370110002,1,1.9,"ug/m3 LC",8,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"101",2018-11-01,"AQS",370110002,1,5.3,"ug/m3 LC",22,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"102",2018-11-04,"AQS",370110002,1,3.5,"ug/m3 LC",15,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"103",2018-11-07,"AQS",370110002,1,2.5,"ug/m3 LC",10,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"104",2018-11-10,"AQS",370110002,1,2.9,"ug/m3 LC",12,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"105",2018-11-13,"AQS",370110002,1,1.1,"ug/m3 LC",5,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"106",2018-11-16,"AQS",370110002,1,2.3,"ug/m3 LC",10,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"107",2018-11-19,"AQS",370110002,1,7.5,"ug/m3 LC",31,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"108",2018-11-22,"AQS",370110002,1,3.3,"ug/m3 LC",14,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"109",2018-11-25,"AQS",370110002,1,3.5,"ug/m3 LC",15,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"110",2018-11-28,"AQS",370110002,1,5.1,"ug/m3 LC",21,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"111",2018-12-01,"AQS",370110002,1,3.9,"ug/m3 LC",16,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"112",2018-12-04,"AQS",370110002,1,1.5,"ug/m3 LC",6,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"113",2018-12-07,"AQS",370110002,1,3.7,"ug/m3 LC",15,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"114",2018-12-10,"AQS",370110002,1,1.2,"ug/m3 LC",5,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"115",2018-12-19,"AQS",370110002,1,4.7,"ug/m3 LC",20,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"116",2018-12-22,"AQS",370110002,1,0.9,"ug/m3 LC",4,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"117",2018-12-25,"AQS",370110002,1,2.9,"ug/m3 LC",12,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"118",2018-01-02,"AQS",370210034,1,6.2,"ug/m3 LC",26,"Board Of Ed. Bldg.",1,100,88101,"PM2.5 - Local Conditions",11700,"Asheville, NC",37,"North Carolina",21,"Buncombe",35.6062000008935,-82.5844
"119",2018-01-08,"AQS",370210034,1,9.7,"ug/m3 LC",40,"Board Of Ed. Bldg.",1,100,88101,"PM2.5 - Local Conditions",11700,"Asheville, NC",37,"North Carolina",21,"Buncombe",35.6062000008935,-82.5844
"120",2018-01-14,"AQS",370210034,1,4.3,"ug/m3 LC",18,"Board Of Ed. Bldg.",1,100,88101,"PM2.5 - Local Conditions",11700,"Asheville, NC",37,"North Carolina",21,"Buncombe",35.6062000008935,-82.5844
"121",2018-01-20,"AQS",370210034,1,5.4,"ug/m3 LC",23,"Board Of Ed. Bldg.",1,100,88101,"PM2.5 - Local Conditions",11700,"Asheville, NC",37,"North Carolina",21,"Buncombe",35.6062000008935,-82.5844
"122",2018-01-26,"AQS",370210034,1,8.9,"ug/m3 LC",37,"Board Of Ed. Bldg.",1,100,88101,"PM2.5 - Local Conditions",11700,"Asheville, NC",37,"North Carolina",21,"Buncombe",35.6062000008935,-82.5844
